	seen_langs	target_lang	demix_posterior	typological_distance_metric	typological_distance	typological_similarity	approximated_posterior	divergence_metric	divergence	divergence_with_uniform
31	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	geographic	[0.4 0.4 0.4 0.2 0.2 0.3 0.2 1. ]	"[6.0000001e-01 6.0000001e-01 6.0000001e-01 8.0000001e-01 8.0000001e-01
 7.0000001e-01 8.0000001e-01 1.0000000e-08]"	"[1.22448980e-01 1.22448980e-01 1.22448980e-01 1.63265305e-01
 1.63265305e-01 1.42857143e-01 1.63265305e-01 2.04081629e-09]"	jensen-shannon	0.6224482220305858	0.6555757747387633
32	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	syntactic	[0.66 0.73 0.74 0.78 0.5  0.8  0.71 0.61]	"[0.34000001 0.27000001 0.26000001 0.22000001 0.50000001 0.20000001
 0.29000001 0.39000001]"	"[0.13765182 0.10931174 0.10526316 0.08906883 0.20242915 0.08097166
 0.11740891 0.15789474]"	jensen-shannon	0.694921797204466	0.6555757747387633
33	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	inventory	[0.4502 0.3323 0.4708 0.384  0.4518 0.4606 0.5679 0.624 ]	"[0.54980001 0.66770001 0.52920001 0.61600001 0.54820001 0.53940001
 0.43210001 0.37600001]"	"[0.12910952 0.15679598 0.12427203 0.14465527 0.1287338  0.12666729
 0.10147004 0.08829607]"	jensen-shannon	0.6394890720820903	0.6555757747387633
34	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	phonological	[0.409  0.2566 0.4878 0.2566 0.47   0.4259 0.3743 0.5228]	"[0.59100001 0.74340001 0.51220001 0.74340001 0.53000001 0.57410001
 0.62570001 0.47720001]"	"[0.123202   0.15497186 0.10677507 0.15497186 0.11048572 0.11967897
 0.13043569 0.09947884]"	jensen-shannon	0.6328444191376417	0.6555757747387633
35	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	my_MM	[8.11912e-05, 0.0017142377, 0.0001073771, 0.9221964236, 3.74e-08, 0.0759005821, 1.383e-07, 1.5e-09]	featural	[0.5 0.5 0.6 0.5 0.5 0.6 0.6 0.6]	"[0.50000001 0.50000001 0.40000001 0.50000001 0.50000001 0.40000001
 0.40000001 0.40000001]"	"[0.13888889 0.13888889 0.11111111 0.13888889 0.13888889 0.11111111
 0.11111111 0.11111111]"	jensen-shannon	0.6470763418785307	0.6555757747387633
36	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	genetic	[0.2857 0.6    0.9375 1.     1.     0.8889 0.8    1.    ]	"[7.1430001e-01 4.0000001e-01 6.2500010e-02 1.0000000e-08 1.0000000e-08
 1.1110001e-01 2.0000001e-01 1.0000000e-08]"	"[4.80072566e-01 2.68835263e-01 4.20055156e-02 6.72088142e-09
 6.72088142e-09 7.46689993e-02 1.34417635e-01 6.72088142e-09]"	jensen-shannon	0.6230544552605295	0.5231452767703271
37	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	geographic	[0.  0.  0.  0.6 0.5 0.1 0.2 1. ]	"[1.00000001e+00 1.00000001e+00 1.00000001e+00 4.00000010e-01
 5.00000010e-01 9.00000010e-01 8.00000010e-01 1.00000000e-08]"	"[1.78571428e-01 1.78571428e-01 1.78571428e-01 7.14285722e-02
 8.92857148e-02 1.60714285e-01 1.42857143e-01 1.78571426e-09]"	jensen-shannon	0.5439954808666227	0.5231452767703271
38	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	syntactic	[0.35 0.49 0.51 0.59 0.69 0.55 0.57 0.63]	"[0.65000001 0.51000001 0.49000001 0.41000001 0.31000001 0.45000001
 0.43000001 0.37000001]"	"[0.17955801 0.14088398 0.13535912 0.11325967 0.08563536 0.12430939
 0.11878453 0.10220995]"	jensen-shannon	0.5158861577077971	0.5231452767703271
39	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	inventory	[0.3086 0.4861 0.3411 0.4829 0.5183 0.4679 0.5297 0.6068]	"[0.69140001 0.51390001 0.65890001 0.51710001 0.48170001 0.53210001
 0.47030001 0.39320001]"	"[0.16235382 0.12067346 0.15472221 0.12142488 0.11311229 0.12494717
 0.11043535 0.09233081]"	jensen-shannon	0.516601823549876	0.5231452767703271
40	en_XX,fr_XX,zh_CN,ru_RU,ja_XX,id_ID,ro_RO,de_DE	nl_XX	[0.119088457, 0.0660376878, 0.0005608484, 0.6672891396, 4.0324e-05, 0.1449543107, 0.0001367103, 0.0018924985]	phonological	"[5.456e-01 5.687e-01 5.456e-01 5.687e-01 6.162e-01 6.410e-01 6.162e-01
 2.000e-04]"	"[0.45440001 0.43130001 0.45440001 0.43130001 0.38380001 0.35900001
 0.38380001 0.99980001]"	"[0.11657858 0.11065216 0.11657858 0.11065216 0.0984658  0.09210324
 0.0984658  0.25650367]"	jensen-shannon	0.5538436048874008	0.5231452767703271
